Department,Book Name,Author,Publisher,Accession No
Biotechnology,Biotechnology Advanced Book 1,S. Sharma,Wiley,ACC000001
Computer Science,Computer Science Advanced Book 2,V. Rao,McGraw Hill,ACC000002
Economics,Economics Advanced Book 3,P. Singh,Wiley,ACC000003
Sociology,Sociology Advanced Book 4,S. Sharma,McGraw Hill,ACC000004
Computer Science,Computer Science Advanced Book 5,R. Kumar,Wiley,ACC000005
Agriculture,Agriculture Advanced Book 6,P. Singh,Elsevier,ACC000006
Architecture,Architecture Advanced Book 7,D. Patel,Cambridge,ACC000007
Physics,Physics Advanced Book 8,P. Singh,Pearson,ACC000008
Mathematics,Mathematics Advanced Book 9,A. Iyer,McGraw Hill,ACC000009
Electronics,Electronics Advanced Book 10,S. Sharma,Oxford,ACC000010
Tamil,Tamil Advanced Book 11,J. Das,Elsevier,ACC000011
Tamil,Tamil Advanced Book 12,D. Patel,Pearson,ACC000012
Tamil,Tamil Advanced Book 13,M. Khan,Wiley,ACC000013
English,English Advanced Book 14,M. Khan,Wiley,ACC000014
Mathematics,Mathematics Advanced Book 15,D. Patel,Oxford,ACC000015
Mathematics,Mathematics Advanced Book 16,P. Singh,Elsevier,ACC000016
Hindi,Hindi Advanced Book 17,D. Patel,Springer,ACC000017
Mathematics,Mathematics Advanced Book 18,P. Singh,Pearson,ACC000018
Tamil,Tamil Advanced Book 19,J. Das,McGraw Hill,ACC000019
Law,Law Advanced Book 20,D. Patel,Oxford,ACC000020
Agriculture,Agriculture Advanced Book 21,D. Patel,Springer,ACC000021
Political Science,Political Science Advanced Book 22,A. Iyer,Pearson,ACC000022
Artificial Intelligence,Artificial Intelligence Advanced Book 23,V. Rao,Pearson,ACC000023
Architecture,Architecture Advanced Book 24,V. Rao,Oxford,ACC000024
Environmental Science,Environmental Science Advanced Book 25,M. Khan,Elsevier,ACC000025
Artificial Intelligence,Artificial Intelligence Advanced Book 26,A. Iyer,McGraw Hill,ACC000026
Mechanical Engineering,Mechanical Engineering Advanced Book 27,D. Patel,Pearson,ACC000027
Chemistry,Chemistry Advanced Book 28,J. Das,Cambridge,ACC000028
Pharmacy,Pharmacy Advanced Book 29,D. Patel,Cambridge,ACC000029
History,History Advanced Book 30,P. Singh,McGraw Hill,ACC000030
Electrical Engineering,Electrical Engineering Advanced Book 31,J. Das,Wiley,ACC000031
Agriculture,Agriculture Advanced Book 32,S. Sharma,Elsevier,ACC000032
Management,Management Advanced Book 33,A. Iyer,Springer,ACC000033
Tamil,Tamil Advanced Book 34,R. Kumar,Springer,ACC000034
Chemical Engineering,Chemical Engineering Advanced Book 35,R. Kumar,Elsevier,ACC000035
History,History Advanced Book 36,V. Rao,Pearson,ACC000036
Architecture,Architecture Advanced Book 37,P. Singh,McGraw Hill,ACC000037
Philosophy,Philosophy Advanced Book 38,R. Kumar,Wiley,ACC000038
History,History Advanced Book 39,V. Rao,Wiley,ACC000039
Biotechnology,Biotechnology Advanced Book 40,A. Iyer,McGraw Hill,ACC000040
Chemical Engineering,Chemical Engineering Advanced Book 41,P. Singh,Elsevier,ACC000041
Information Technology,Information Technology Advanced Book 42,P. Singh,McGraw Hill,ACC000042
Electronics,Electronics Advanced Book 43,V. Rao,Elsevier,ACC000043
Environmental Science,Environmental Science Advanced Book 44,S. Sharma,Oxford,ACC000044
Chemistry,Chemistry Advanced Book 45,S. Sharma,Springer,ACC000045
Education,Education Advanced Book 46,D. Patel,Wiley,ACC000046
Economics,Economics Advanced Book 47,J. Das,Springer,ACC000047
Data Science,Data Science Advanced Book 48,J. Das,Springer,ACC000048
Philosophy,Philosophy Advanced Book 49,D. Patel,Cambridge,ACC000049
Tamil,Tamil Advanced Book 50,D. Patel,Elsevier,ACC000050
Computer Science,Computer Science Advanced Book 51,D. Patel,Pearson,ACC000051
Chemical Engineering,Chemical Engineering Advanced Book 52,M. Khan,Springer,ACC000052
Mechanical Engineering,Mechanical Engineering Advanced Book 53,V. Rao,Pearson,ACC000053
Chemistry,Chemistry Advanced Book 54,J. Das,Pearson,ACC000054
Physics,Physics Advanced Book 55,J. Das,Cambridge,ACC000055
Data Science,Data Science Advanced Book 56,M. Khan,Oxford,ACC000056
Electronics,Electronics Advanced Book 57,P. Singh,Wiley,ACC000057
Artificial Intelligence,Artificial Intelligence Advanced Book 58,P. Singh,Cambridge,ACC000058
Hindi,Hindi Advanced Book 59,D. Patel,Oxford,ACC000059
Sociology,Sociology Advanced Book 60,J. Das,Wiley,ACC000060
Electrical Engineering,Electrical Engineering Advanced Book 61,J. Das,Pearson,ACC000061
Management,Management Advanced Book 62,A. Iyer,Cambridge,ACC000062
Information Technology,Information Technology Advanced Book 63,D. Patel,Cambridge,ACC000063
Biotechnology,Biotechnology Advanced Book 64,M. Khan,Springer,ACC000064
Mathematics,Mathematics Advanced Book 65,A. Iyer,Wiley,ACC000065
Pharmacy,Pharmacy Advanced Book 66,S. Sharma,Elsevier,ACC000066
Hindi,Hindi Advanced Book 67,R. Kumar,Elsevier,ACC000067
Economics,Economics Advanced Book 68,J. Das,McGraw Hill,ACC000068
Biotechnology,Biotechnology Advanced Book 69,D. Patel,Springer,ACC000069
Agriculture,Agriculture Advanced Book 70,S. Sharma,McGraw Hill,ACC000070
English,English Advanced Book 71,M. Khan,Springer,ACC000071
Law,Law Advanced Book 72,A. Iyer,Springer,ACC000072
Chemistry,Chemistry Advanced Book 73,R. Kumar,Pearson,ACC000073
Education,Education Advanced Book 74,R. Kumar,McGraw Hill,ACC000074
Agriculture,Agriculture Advanced Book 75,R. Kumar,Elsevier,ACC000075
Data Science,Data Science Advanced Book 76,V. Rao,Wiley,ACC000076
Chemical Engineering,Chemical Engineering Advanced Book 77,A. Iyer,Springer,ACC000077
Civil Engineering,Civil Engineering Advanced Book 78,R. Kumar,Elsevier,ACC000078
Tamil,Tamil Advanced Book 79,S. Sharma,Wiley,ACC000079
Commerce,Commerce Advanced Book 80,M. Khan,Springer,ACC000080
Electrical Engineering,Electrical Engineering Advanced Book 81,R. Kumar,Elsevier,ACC000081
Computer Science,Computer Science Advanced Book 82,R. Kumar,Pearson,ACC000082
English,English Advanced Book 83,S. Sharma,Springer,ACC000083
Pharmacy,Pharmacy Advanced Book 84,M. Khan,Pearson,ACC000084
Sociology,Sociology Advanced Book 85,D. Patel,Cambridge,ACC000085
Architecture,Architecture Advanced Book 86,R. Kumar,Wiley,ACC000086
Law,Law Advanced Book 87,D. Patel,Pearson,ACC000087
Law,Law Advanced Book 88,M. Khan,Springer,ACC000088
Data Science,Data Science Advanced Book 89,V. Rao,Wiley,ACC000089
Chemistry,Chemistry Advanced Book 90,V. Rao,Cambridge,ACC000090
Psychology,Psychology Advanced Book 91,D. Patel,Pearson,ACC000091
Artificial Intelligence,Artificial Intelligence Advanced Book 92,J. Das,McGraw Hill,ACC000092
Education,Education Advanced Book 93,P. Singh,Wiley,ACC000093
Chemical Engineering,Chemical Engineering Advanced Book 94,S. Sharma,Elsevier,ACC000094
Law,Law Advanced Book 95,M. Khan,McGraw Hill,ACC000095
Management,Management Advanced Book 96,D. Patel,Pearson,ACC000096
Pharmacy,Pharmacy Advanced Book 97,S. Sharma,McGraw Hill,ACC000097
Management,Management Advanced Book 98,R. Kumar,Pearson,ACC000098
Chemistry,Chemistry Advanced Book 99,R. Kumar,McGraw Hill,ACC000099
Electrical Engineering,Electrical Engineering Advanced Book 100,P. Singh,Pearson,ACC000100
Psychology,Psychology Advanced Book 101,J. Das,Cambridge,ACC000101
Education,Education Advanced Book 102,P. Singh,Oxford,ACC000102
Civil Engineering,Civil Engineering Advanced Book 103,S. Sharma,Cambridge,ACC000103
Psychology,Psychology Advanced Book 104,J. Das,Wiley,ACC000104
Nursing,Nursing Advanced Book 105,S. Sharma,McGraw Hill,ACC000105
Economics,Economics Advanced Book 106,A. Iyer,Pearson,ACC000106
Physics,Physics Advanced Book 107,V. Rao,Wiley,ACC000107
Chemistry,Chemistry Advanced Book 108,J. Das,Elsevier,ACC000108
Chemical Engineering,Chemical Engineering Advanced Book 109,J. Das,Elsevier,ACC000109
Hindi,Hindi Advanced Book 110,D. Patel,Oxford,ACC000110
Sociology,Sociology Advanced Book 111,J. Das,Pearson,ACC000111
Psychology,Psychology Advanced Book 112,M. Khan,Pearson,ACC000112
Nursing,Nursing Advanced Book 113,S. Sharma,Cambridge,ACC000113
Architecture,Architecture Advanced Book 114,J. Das,Pearson,ACC000114
Civil Engineering,Civil Engineering Advanced Book 115,V. Rao,McGraw Hill,ACC000115
Hindi,Hindi Advanced Book 116,R. Kumar,McGraw Hill,ACC000116
Philosophy,Philosophy Advanced Book 117,M. Khan,Wiley,ACC000117
History,History Advanced Book 118,R. Kumar,Pearson,ACC000118
Law,Law Advanced Book 119,J. Das,Elsevier,ACC000119
Information Technology,Information Technology Advanced Book 120,R. Kumar,Springer,ACC000120
Management,Management Advanced Book 121,A. Iyer,Cambridge,ACC000121
Biotechnology,Biotechnology Advanced Book 122,R. Kumar,Wiley,ACC000122
Environmental Science,Environmental Science Advanced Book 123,P. Singh,Oxford,ACC000123
Civil Engineering,Civil Engineering Advanced Book 124,J. Das,Elsevier,ACC000124
Nursing,Nursing Advanced Book 125,P. Singh,Pearson,ACC000125
Political Science,Political Science Advanced Book 126,V. Rao,Elsevier,ACC000126
Mechanical Engineering,Mechanical Engineering Advanced Book 127,J. Das,Cambridge,ACC000127
Mechanical Engineering,Mechanical Engineering Advanced Book 128,D. Patel,Springer,ACC000128
Agriculture,Agriculture Advanced Book 129,D. Patel,Oxford,ACC000129
Biotechnology,Biotechnology Advanced Book 130,J. Das,Elsevier,ACC000130
Economics,Economics Advanced Book 131,D. Patel,Cambridge,ACC000131
Pharmacy,Pharmacy Advanced Book 132,J. Das,Wiley,ACC000132
Computer Science,Computer Science Advanced Book 133,A. Iyer,McGraw Hill,ACC000133
Computer Science,Computer Science Advanced Book 134,D. Patel,Wiley,ACC000134
History,History Advanced Book 135,A. Iyer,Pearson,ACC000135
Chemistry,Chemistry Advanced Book 136,V. Rao,Cambridge,ACC000136
Environmental Science,Environmental Science Advanced Book 137,M. Khan,Cambridge,ACC000137
Environmental Science,Environmental Science Advanced Book 138,R. Kumar,Pearson,ACC000138
Education,Education Advanced Book 139,M. Khan,Elsevier,ACC000139
History,History Advanced Book 140,A. Iyer,Oxford,ACC000140
Pharmacy,Pharmacy Advanced Book 141,P. Singh,McGraw Hill,ACC000141
Philosophy,Philosophy Advanced Book 142,P. Singh,McGraw Hill,ACC000142
Management,Management Advanced Book 143,J. Das,Pearson,ACC000143
Agriculture,Agriculture Advanced Book 144,J. Das,Cambridge,ACC000144
Economics,Economics Advanced Book 145,R. Kumar,Elsevier,ACC000145
Commerce,Commerce Advanced Book 146,R. Kumar,Springer,ACC000146
Mathematics,Mathematics Advanced Book 147,R. Kumar,Oxford,ACC000147
Education,Education Advanced Book 148,R. Kumar,Cambridge,ACC000148
Computer Science,Computer Science Advanced Book 149,S. Sharma,Cambridge,ACC000149
Pharmacy,Pharmacy Advanced Book 150,V. Rao,Wiley,ACC000150
Management,Management Advanced Book 151,D. Patel,McGraw Hill,ACC000151
Computer Science,Computer Science Advanced Book 152,M. Khan,Cambridge,ACC000152
